x-axis,1,2,3
second,Volt,Volt,Volt
+100.0000E-03,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+100.1000E-03,+11.8592966E+00,+4.8241206E+00,-201.0050E-03
+100.2000E-03,+11.8592966E+00,+4.8241206E+00,-201.0050E-03
+100.3000E-03,+11.6582915E+00,+4.8115578E+00,-201.0050E-03
+100.4000E-03,+11.8592966E+00,+4.6231156E+00,-201.0050E-03
+100.5000E-03,+11.8592966E+00,+4.8241206E+00,-201.0050E-03
+100.6000E-03,+11.8467338E+00,+4.8241206E+00,-188.4422E-03
+100.7000E-03,+11.6582915E+00,+4.8115578E+00,+0.0E+00
+100.8000E-03,+11.8467338E+00,-201.0050E-03,-201.0050E-03
+100.9000E-03,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+101.0000E-03,+11.6582915E+00,-201.0050E-03,-188.4422E-03
+101.1000E-03,+11.6582915E+00,-201.0050E-03,+0.0E+00
+101.2000E-03,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+101.3000E-03,+11.8467338E+00,-201.0050E-03,-188.4422E-03
+101.4000E-03,+11.6582915E+00,-201.0050E-03,+0.0E+00
+101.5000E-03,+11.8467338E+00,-201.0050E-03,-188.4422E-03
+101.6000E-03,+11.6582915E+00,-201.0050E-03,+0.0E+00
+101.7000E-03,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+101.8000E-03,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+101.9000E-03,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+102.0000E-03,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+102.1000E-03,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+102.2000E-03,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+102.3000E-03,+11.8592966E+00,-201.0050E-03,-188.4422E-03
+102.4000E-03,+11.8592966E+00,-201.0050E-03,+0.0E+00
+102.5000E-03,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+102.6000E-03,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+102.7000E-03,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+102.8000E-03,+11.8467338E+00,-201.0050E-03,-201.0050E-03
+102.9000E-03,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+103.0000E-03,+11.8467338E+00,-201.0050E-03,-201.0050E-03
+103.1000E-03,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+103.2000E-03,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+103.3000E-03,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+103.4000E-03,+11.8592966E+00,-389.4472E-03,-201.0050E-03
+103.5000E-03,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+103.6000E-03,+11.8467338E+00,-201.0050E-03,-188.4422E-03
+103.7000E-03,+11.6582915E+00,-201.0050E-03,+0.0E+00
+103.8000E-03,+11.8467338E+00,-201.0050E-03,-201.0050E-03
+103.9000E-03,+11.6582915E+00,-201.0050E-03,-188.4422E-03
+104.0000E-03,+11.6582915E+00,-201.0050E-03,+0.0E+00
+104.1000E-03,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+104.2000E-03,+11.8592966E+00,-201.0050E-03,-188.4422E-03
+104.3000E-03,+11.8467338E+00,-201.0050E-03,+0.0E+00
+104.4000E-03,+11.6582915E+00,-201.0050E-03,-188.4422E-03
+104.5000E-03,+11.8467338E+00,-201.0050E-03,+0.0E+00
+104.6000E-03,+11.6582915E+00,-201.0050E-03,+0.0E+00
+104.7000E-03,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+104.8000E-03,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+104.9000E-03,+11.8592966E+00,-201.0050E-03,-188.4422E-03
+105.0000E-03,+11.8592966E+00,-201.0050E-03,+0.0E+00
+105.1000E-03,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+105.2000E-03,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+105.3000E-03,+11.8467338E+00,-201.0050E-03,-201.0050E-03
+105.4000E-03,+11.6582915E+00,-201.0050E-03,-188.4422E-03
+105.5000E-03,+11.8592966E+00,-201.0050E-03,+0.0E+00
+105.6000E-03,+11.8592966E+00,-201.0050E-03,+0.0E+00
+105.7000E-03,+11.8592966E+00,-201.0050E-03,-188.4422E-03
+105.8000E-03,+11.8467338E+00,-201.0050E-03,+0.0E+00
+105.9000E-03,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+106.0000E-03,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+106.1000E-03,+11.8592966E+00,-201.0050E-03,-188.4422E-03
+106.2000E-03,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+106.3000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+106.4000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+106.5000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+106.6000E-03,+11.6582915E+00,-201.0050E-03,+4.8115578E+00
+106.7000E-03,+11.6582915E+00,-201.0050E-03,+4.6231156E+00
+106.8000E-03,+11.6582915E+00,-201.0050E-03,+4.6231156E+00
+106.9000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+107.0000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+107.1000E-03,+11.6582915E+00,-389.4472E-03,+4.8241206E+00
+107.2000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+107.3000E-03,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+107.4000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+107.5000E-03,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+107.6000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+107.7000E-03,+11.8592966E+00,-201.0050E-03,+4.8241206E+00
+107.8000E-03,+11.8592966E+00,-201.0050E-03,+4.8241206E+00
+107.9000E-03,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+108.0000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+108.1000E-03,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+108.2000E-03,+11.6582915E+00,-201.0050E-03,+5.0125629E+00
+108.3000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+108.4000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+108.5000E-03,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+108.6000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+108.7000E-03,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+108.8000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+108.9000E-03,+11.8592966E+00,-201.0050E-03,+4.8241206E+00
+109.0000E-03,+11.8467338E+00,-389.4472E-03,+4.8241206E+00
+109.1000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+109.2000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+109.3000E-03,+11.6582915E+00,-389.4472E-03,+4.8241206E+00
+109.4000E-03,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+109.5000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+109.6000E-03,+11.8592966E+00,-201.0050E-03,+4.8241206E+00
+109.7000E-03,+11.8592966E+00,-201.0050E-03,+4.8241206E+00
+109.8000E-03,+11.8592966E+00,-201.0050E-03,+4.8241206E+00
+109.9000E-03,+11.8592966E+00,-201.0050E-03,+4.8241206E+00
+110.0000E-03,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+110.1000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+110.2000E-03,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+110.3000E-03,+11.6582915E+00,-188.4422E-03,+4.8115578E+00
+110.4000E-03,+11.6582915E+00,+4.8115578E+00,+4.6231156E+00
+110.5000E-03,+11.6582915E+00,+4.6231156E+00,+4.8241206E+00
+110.6000E-03,+11.6582915E+00,+4.8115578E+00,+4.8241206E+00
+110.7000E-03,+11.8467338E+00,+4.6231156E+00,+4.8241206E+00
+110.8000E-03,+11.6582915E+00,+4.8115578E+00,+4.8241206E+00
+110.9000E-03,+11.6582915E+00,+4.6231156E+00,+5.0125629E+00
