x-axis,1,2,3
second,Volt,Volt,Volt
+2.1602000E+00,,,
+2.1603000E+00,+17.4497489E+00,+2.5125628E+00,+4.9849246E+00
+2.1604000E+00,+17.6633167E+00,+1.7035176E+00,+4.9849246E+00
+2.1605000E+00,+17.6884423E+00,+1.2512563E+00,+4.9849246E+00
+2.1606000E+00,+17.6884423E+00,+849.2462E-03,+4.8391959E+00
+2.1607000E+00,+17.6884423E+00,+804.0201E-03,+4.7487437E+00
+2.1608000E+00,+17.6884423E+00,+658.2915E-03,+3.8944723E+00
+2.1609000E+00,+17.6884423E+00,+643.2161E-03,+3.5628140E+00
+2.1610000E+00,+17.6884423E+00,+643.2161E-03,+2.8994975E+00
+2.1611000E+00,+17.6884423E+00,+643.2161E-03,+2.3869346E+00
+2.1612000E+00,+17.6884423E+00,+643.2161E-03,+2.0452261E+00
+2.1613000E+00,+17.6884423E+00,+643.2161E-03,+1.7236181E+00
+2.1614000E+00,+17.6884423E+00,+643.2161E-03,+1.2613065E+00
+2.1615000E+00,+17.6884423E+00,+643.2161E-03,+989.9497E-03
+2.1616000E+00,+17.6884423E+00,+643.2161E-03,+748.7437E-03
+2.1617000E+00,+17.6884423E+00,+643.2161E-03,+577.8894E-03
+2.1618000E+00,+17.6884423E+00,+643.2161E-03,+633.1658E-03
+2.1619000E+00,+17.6884423E+00,+643.2161E-03,+567.8392E-03
+2.1620000E+00,+17.6884423E+00,+643.2161E-03,+562.8141E-03
+2.1621000E+00,+17.6884423E+00,+713.5678E-03,+562.8141E-03
+2.1622000E+00,+17.6884423E+00,+723.6181E-03,+487.4372E-03
+2.1623000E+00,+17.6884423E+00,+864.3216E-03,+552.7638E-03
+2.1624000E+00,+17.6884423E+00,+954.7739E-03,+562.8141E-03
+2.1625000E+00,+17.6884423E+00,+1.3165829E+00,+562.8141E-03
+2.1626000E+00,+17.6884423E+00,+1.7185929E+00,+562.8141E-03
+2.1627000E+00,+17.6884423E+00,+2.1909548E+00,+633.1658E-03
+2.1628000E+00,+17.6884423E+00,+3.0251256E+00,+1.1356784E+00
+2.1629000E+00,+17.6884423E+00,+3.2060301E+00,+1.2060301E+00
+2.1630000E+00,+17.6884423E+00,+3.8492462E+00,+1.9095477E+00
+2.1631000E+00,+17.6884423E+00,+4.3618090E+00,+2.6432161E+00
+2.1632000E+00,+17.6884423E+00,+4.4221105E+00,+2.8040201E+00
+2.1633000E+00,+17.6884423E+00,+4.6331658E+00,+3.3065326E+00
+2.1634000E+00,+17.6884423E+00,+4.7336683E+00,+4.0100502E+00
+2.1635000E+00,+17.6884423E+00,+4.8140703E+00,+4.1708542E+00
+2.1636000E+00,+17.6884423E+00,+4.7487437E+00,+4.5326633E+00
+2.1637000E+00,+17.8643217E+00,+4.8140703E+00,+4.7236180E+00
+2.1638000E+00,+17.7010052E+00,+4.8241206E+00,+4.8844221E+00
+2.1639000E+00,+17.6884423E+00,+4.8241206E+00,+4.9045226E+00
+2.1640000E+00,+17.6884423E+00,+4.8241206E+00,+4.9748743E+00
+2.1641000E+00,+17.6884423E+00,+4.8241206E+00,+4.9849246E+00
+2.1642000E+00,+17.6884423E+00,+4.8241206E+00,+4.9849246E+00
+2.1643000E+00,+17.6884423E+00,+4.8241206E+00,+5.0552763E+00
+2.1644000E+00,+17.6884423E+00,+4.8944723E+00,+4.9899497E+00
+2.1645000E+00,+17.6884423E+00,+4.9045226E+00,+4.9849246E+00
+2.1646000E+00,+17.6884423E+00,+4.8291457E+00,+4.9849246E+00
+2.1647000E+00,+17.6884423E+00,+4.8944723E+00,+5.0552763E+00
+2.1648000E+00,+17.6884423E+00,+4.7587939E+00,+4.9899497E+00
+2.1649000E+00,+17.6884423E+00,+4.4572864E+00,+4.9849246E+00
+2.1650000E+00,+17.6884423E+00,+4.2763819E+00,+4.9849246E+00
+2.1651000E+00,+17.6884423E+00,+3.7638191E+00,+4.9849246E+00
+2.1652000E+00,+17.6884423E+00,+3.4120603E+00,+4.9849246E+00
+2.1653000E+00,+17.6884423E+00,+3.1608040E+00,+4.9849246E+00
+2.1654000E+00,+17.6884423E+00,+2.4974874E+00,+4.9095477E+00
+2.1655000E+00,+17.6884423E+00,+1.9849246E+00,+4.5477386E+00
+2.1656000E+00,+17.6884423E+00,+1.8542713E+00,+4.2160804E+00
+2.1657000E+00,+17.6884423E+00,+1.4924623E+00,+3.4723618E+00
+2.1658000E+00,+17.6884423E+00,+1.1608040E+00,+2.6683417E+00
+2.1659000E+00,+17.6884423E+00,+1.0502512E+00,+2.1457286E+00
