x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-102.0000E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.5543341E+00
-101.7500E-03,+414.2587E-03,-201.0050E-03,+5.0251257E+00,+3.5543341E+00
-101.5000E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.5543341E+00
-101.2500E-03,+351.4446E-03,-201.0050E-03,+5.2261307E+00,+3.4287060E+00
-101.0000E-03,+213.2537E-03,-201.0050E-03,+5.1381910E+00,+3.4412688E+00
-100.7500E-03,+414.2587E-03,-201.0050E-03,+5.0251257E+00,+3.5292085E+00
-100.5000E-03,+414.2587E-03,-213.5678E-03,+5.2261307E+00,+3.5543341E+00
-100.2500E-03,+351.4446E-03,-201.0050E-03,+5.1507538E+00,+3.5543341E+00
-100.0000E-03,+414.2587E-03,-201.0050E-03,+5.1005026E+00,+3.5543341E+00
-99.7500E-03,+389.1331E-03,-201.0050E-03,+5.1884423E+00,+3.5292085E+00
-99.5000E-03,+414.2587E-03,-201.0050E-03,+5.0376885E+00,+3.5543341E+00
-99.2500E-03,+414.2587E-03,-201.0050E-03,+5.0879397E+00,+3.5543341E+00
-99.0000E-03,+414.2587E-03,-201.0050E-03,+5.1005026E+00,+3.5543341E+00
-98.7500E-03,+414.2587E-03,-226.1307E-03,+5.0251257E+00,+3.5543341E+00
-98.5000E-03,+401.6959E-03,-201.0050E-03,+5.2010051E+00,+3.5543341E+00
-98.2500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.5543341E+00
-98.0000E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.4789572E+00
-97.7500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.3910175E+00
-97.5000E-03,+414.2587E-03,-201.0050E-03,+5.2010051E+00,+3.3533291E+00
-97.2500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.4915200E+00
-97.0000E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.3533291E+00
-96.7500E-03,+414.2587E-03,-201.0050E-03,+5.0502513E+00,+3.3533291E+00
-96.5000E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.3533291E+00
-96.2500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.3533291E+00
-96.0000E-03,+338.8818E-03,-314.0704E-03,+5.1005026E+00,+3.3533291E+00
-95.7500E-03,+250.9421E-03,-201.0050E-03,+5.0502513E+00,+3.3533291E+00
-95.5000E-03,+414.2587E-03,-213.5678E-03,+5.0251257E+00,+3.3533291E+00
-95.2500E-03,+351.4446E-03,-201.0050E-03,+5.1507538E+00,+3.3533291E+00
-95.0000E-03,+414.2587E-03,-276.3819E-03,+5.1005026E+00,+3.3533291E+00
-94.7500E-03,+414.2587E-03,-364.3216E-03,+5.0502513E+00,+3.3533291E+00
