"freq
References : ['S(2,1)','S(1,1)']
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Real","S(2,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(1,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
1.500 GHz,1.290E-6 / -51.427,0.996 / -140.098
1.500 GHz,1.291E-6 / -51.438,0.996 / -140.109
1.500 GHz,1.292E-6 / -51.449,0.996 / -140.120
1.500 GHz,1.292E-6 / -51.460,0.996 / -140.131
1.500 GHz,1.293E-6 / -51.471,0.996 / -140.142
1.500 GHz,1.294E-6 / -51.482,0.996 / -140.153
1.501 GHz,1.295E-6 / -51.493,0.996 / -140.164
1.501 GHz,1.296E-6 / -51.504,0.996 / -140.175
1.501 GHz,1.297E-6 / -51.515,0.996 / -140.186
1.501 GHz,1.298E-6 / -51.526,0.996 / -140.197
1.501 GHz,1.299E-6 / -51.537,0.996 / -140.208
1.501 GHz,1.300E-6 / -51.548,0.996 / -140.219
1.501 GHz,1.301E-6 / -51.559,0.996 / -140.230
1.501 GHz,1.301E-6 / -51.570,0.996 / -140.241
1.501 GHz,1.302E-6 / -51.581,0.996 / -140.252
1.502 GHz,1.303E-6 / -51.593,0.996 / -140.263
1.502 GHz,1.304E-6 / -51.604,0.996 / -140.274
1.502 GHz,1.305E-6 / -51.615,0.996 / -140.285
1.502 GHz,1.306E-6 / -51.626,0.996 / -140.296
1.502 GHz,1.307E-6 / -51.637,0.996 / -140.307
1.502 GHz,1.308E-6 / -51.648,0.996 / -140.318
1.502 GHz,1.309E-6 / -51.659,0.996 / -140.329
1.502 GHz,1.310E-6 / -51.670,0.996 / -140.340
1.502 GHz,1.310E-6 / -51.681,0.996 / -140.351
1.502 GHz,1.311E-6 / -51.692,0.996 / -140.362
1.502 GHz,1.312E-6 / -51.703,0.996 / -140.373
1.503 GHz,1.313E-6 / -51.714,0.996 / -140.384
1.503 GHz,1.314E-6 / -51.725,0.996 / -140.395
1.503 GHz,1.315E-6 / -51.736,0.996 / -140.406
1.503 GHz,1.316E-6 / -51.747,0.996 / -140.417
1.503 GHz,1.317E-6 / -51.758,0.996 / -140.428
1.503 GHz,1.318E-6 / -51.769,0.996 / -140.439
1.503 GHz,1.319E-6 / -51.780,0.996 / -140.450
1.503 GHz,1.320E-6 / -51.791,0.996 / -140.461
1.503 GHz,1.320E-6 / -51.802,0.996 / -140.472
1.504 GHz,1.321E-6 / -51.814,0.996 / -140.483
1.504 GHz,1.322E-6 / -51.825,0.996 / -140.494
1.504 GHz,1.323E-6 / -51.836,0.996 / -140.505
1.504 GHz,1.324E-6 / -51.847,0.996 / -140.516
1.504 GHz,1.325E-6 / -51.858,0.996 / -140.527
1.504 GHz,1.326E-6 / -51.869,0.996 / -140.538
1.504 GHz,1.327E-6 / -51.880,0.996 / -140.549
1.504 GHz,1.328E-6 / -51.891,0.996 / -140.560
1.504 GHz,1.329E-6 / -51.902,0.996 / -140.571
1.504 GHz,1.330E-6 / -51.913,0.996 / -140.582
1.504 GHz,1.331E-6 / -51.924,0.996 / -140.593
1.505 GHz,1.332E-6 / -51.935,0.996 / -140.604
1.505 GHz,1.332E-6 / -51.946,0.996 / -140.615
1.505 GHz,1.333E-6 / -51.957,0.996 / -140.626
