"freq
References : ['S(1,1)','S(2,1)']
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
1.500 GHz,0.994 / -150.210,5.824E-8 / -61.261
1.500 GHz,0.994 / -150.224,5.828E-8 / -61.275
1.500 GHz,0.994 / -150.237,5.831E-8 / -61.289
1.500 GHz,0.994 / -150.251,5.835E-8 / -61.303
1.500 GHz,0.994 / -150.265,5.839E-8 / -61.316
1.500 GHz,0.994 / -150.279,5.843E-8 / -61.330
1.501 GHz,0.994 / -150.292,5.847E-8 / -61.344
1.501 GHz,0.994 / -150.306,5.851E-8 / -61.358
1.501 GHz,0.994 / -150.320,5.855E-8 / -61.372
1.501 GHz,0.994 / -150.334,5.859E-8 / -61.385
1.501 GHz,0.994 / -150.348,5.863E-8 / -61.399
1.501 GHz,0.994 / -150.361,5.867E-8 / -61.413
1.501 GHz,0.994 / -150.375,5.871E-8 / -61.427
1.501 GHz,0.994 / -150.389,5.875E-8 / -61.441
1.501 GHz,0.994 / -150.403,5.879E-8 / -61.454
1.502 GHz,0.994 / -150.416,5.883E-8 / -61.468
1.502 GHz,0.994 / -150.430,5.887E-8 / -61.482
1.502 GHz,0.994 / -150.444,5.891E-8 / -61.496
1.502 GHz,0.994 / -150.458,5.895E-8 / -61.510
1.502 GHz,0.994 / -150.471,5.899E-8 / -61.524
1.502 GHz,0.994 / -150.485,5.903E-8 / -61.537
1.502 GHz,0.994 / -150.499,5.907E-8 / -61.551
1.502 GHz,0.994 / -150.513,5.911E-8 / -61.565
1.502 GHz,0.994 / -150.526,5.915E-8 / -61.579
1.502 GHz,0.994 / -150.540,5.919E-8 / -61.593
1.502 GHz,0.994 / -150.554,5.923E-8 / -61.606
1.503 GHz,0.994 / -150.568,5.927E-8 / -61.620
1.503 GHz,0.994 / -150.582,5.931E-8 / -61.634
1.503 GHz,0.994 / -150.595,5.935E-8 / -61.648
1.503 GHz,0.994 / -150.609,5.939E-8 / -61.662
1.503 GHz,0.994 / -150.623,5.943E-8 / -61.675
1.503 GHz,0.994 / -150.637,5.947E-8 / -61.689
1.503 GHz,0.994 / -150.650,5.951E-8 / -61.703
1.503 GHz,0.994 / -150.664,5.955E-8 / -61.717
1.503 GHz,0.994 / -150.678,5.959E-8 / -61.731
1.504 GHz,0.994 / -150.692,5.964E-8 / -61.745
1.504 GHz,0.994 / -150.705,5.968E-8 / -61.758
1.504 GHz,0.994 / -150.719,5.972E-8 / -61.772
1.504 GHz,0.994 / -150.733,5.976E-8 / -61.786
1.504 GHz,0.994 / -150.747,5.980E-8 / -61.800
1.504 GHz,0.994 / -150.761,5.984E-8 / -61.814
1.504 GHz,0.994 / -150.774,5.988E-8 / -61.828
1.504 GHz,0.994 / -150.788,5.992E-8 / -61.841
1.504 GHz,0.994 / -150.802,5.996E-8 / -61.855
1.504 GHz,0.994 / -150.816,6.000E-8 / -61.869
