Freq.	V(n005)
1.00000000000000e+09	(-2.43314905032273e+02dB,-9.55669444997753e+01°)
1.00230523807790e+09	(-2.43118235730947e+02dB,-9.55832828502928e+01°)
1.00461579027839e+09	(-2.42921251620507e+02dB,-9.55997054645033e+01°)
1.00693166885180e+09	(-2.42723950654504e+02dB,-9.56162129634257e+01°)
1.00925288607668e+09	(-2.42526330769861e+02dB,-9.56328059746167e+01°)
1.01157945425990e+09	(-2.42328389886700e+02dB,-9.56494851322564e+01°)
1.01391138573668e+09	(-2.42130125908170e+02dB,-9.56662510772352e+01°)
1.01624869287070e+09	(-2.41931536720263e+02dB,-9.56831044572424e+01°)
1.01859138805412e+09	(-2.41732620191640e+02dB,-9.57000459268555e+01°)
1.02093948370768e+09	(-2.41533374173443e+02dB,-9.57170761476318e+01°)
1.02329299228075e+09	(-2.41333796499118e+02dB,-9.57341957882006e+01°)
1.02565192625141e+09	(-2.41133884984217e+02dB,-9.57514055243577e+01°)
1.02801629812647e+09	(-2.40933637426217e+02dB,-9.57687060391604e+01°)
1.03038612044162e+09	(-2.40733051604325e+02dB,-9.57860980230254e+01°)
1.03276140576140e+09	(-2.40532125279282e+02dB,-9.58035821738268e+01°)
1.03514216667934e+09	(-2.40330856193166e+02dB,-9.58211591969965e+01°)
1.03752841581801e+09	(-2.40129242069193e+02dB,-9.58388298056265e+01°)
1.03992016582906e+09	(-2.39927280611513e+02dB,-9.58565947205719e+01°)
1.04231742939330e+09	(-2.39724969505003e+02dB,-9.58744546705566e+01°)
1.04472021922080e+09	(-2.39522306415064e+02dB,-9.58924103922797e+01°)
1.04712854805090e+09	(-2.39319288987404e+02dB,-9.59104626305248e+01°)
1.04954242865232e+09	(-2.39115914847827e+02dB,-9.59286121382701e+01°)
1.05196187382322e+09	(-2.38912181602014e+02dB,-9.59468596768005e+01°)
1.05438689639126e+09	(-2.38708086835306e+02dB,-9.59652060158225e+01°)
1.05681750921366e+09	(-2.38503628112479e+02dB,-9.59836519335791e+01°)
1.05925372517729e+09	(-2.38298802977519e+02dB,-9.60021982169689e+01°)
1.06169555719872e+09	(-2.38093608953392e+02dB,-9.60208456616650e+01°)
1.06414301822431e+09	(-2.37888043541811e+02dB,-9.60395950722376e+01°)
1.06659612123026e+09	(-2.37682104223004e+02dB,-9.60584472622776e+01°)
1.06905487922266e+09	(-2.37475788455472e+02dB,-9.60774030545228e+01°)
1.07151930523760e+09	(-2.37269093675745e+02dB,-9.60964632809858e+01°)
1.07398941234124e+09	(-2.37062017298144e+02dB,-9.61156287830844e+01°)
1.07646521362983e+09	(-2.36854556714525e+02dB,-9.61349004117741e+01°)
1.07894672222983e+09	(-2.36646709294028e+02dB,-9.61542790276830e+01°)
1.08143395129794e+09	(-2.36438472382825e+02dB,-9.61737655012484e+01°)
1.08392691402120e+09	(-2.36229843303854e+02dB,-9.61933607128565e+01°)
1.08642562361706e+09	(-2.36020819356561e+02dB,-9.62130655529841e+01°)
1.08893009333343e+09	(-2.35811397816632e+02dB,-9.62328809223427e+01°)
1.09144033644875e+09	(-2.35601575935720e+02dB,-9.62528077320249e+01°)
1.09395636627209e+09	(-2.35391350941171e+02dB,-9.62728469036542e+01°)
1.09647819614318e+09	(-2.35180720035749e+02dB,-9.62929993695360e+01°)
1.09900583943252e+09	(-2.34969680397346e+02dB,-9.63132660728125e+01°)
1.10153930954141e+09	(-2.34758229178703e+02dB,-9.63336479676197e+01°)
1.10407861990207e+09	(-2.34546363507114e+02dB,-9.63541460192468e+01°)
1.10662378397766e+09	(-2.34334080484134e+02dB,-9.63747612042993e+01°)
1.10917481526240e+09	(-2.34121377185278e+02dB,-9.63954945108643e+01°)
1.11173172728159e+09	(-2.33908250659716e+02dB,-9.64163469386784e+01°)
1.11429453359173e+09	(-2.33694697929968e+02dB,-9.64373194992997e+01°)
1.11686324778056e+09	(-2.33480715991588e+02dB,-9.64584132162818e+01°)
1.11943788346715e+09	(-2.33266301812851e+02dB,-9.64796291253511e+01°)
1.12201845430196e+09	(-2.33051452334426e+02dB,-9.65009682745880e+01°)
1.12460497396692e+09	(-2.32836164469051e+02dB,-9.65224317246097e+01°)
1.12719745617551e+09	(-2.32620435101202e+02dB,-9.65440205487585e+01°)
1.12979591467280e+09	(-2.32404261086759e+02dB,-9.65657358332913e+01°)
1.13240036323555e+09	(-2.32187639252658e+02dB,-9.65875786775742e+01°)
1.13501081567231e+09	(-2.31970566396550e+02dB,-9.66095501942792e+01°)
1.13762728582343e+09	(-2.31753039286445e+02dB,-9.66316515095860e+01°)
1.14024978756117e+09	(-2.31535054660359e+02dB,-9.66538837633859e+01°)
1.14287833478977e+09	(-2.31316609225946e+02dB,-9.66762481094907e+01°)
1.14551294144553e+09	(-2.31097699660135e+02dB,-9.66987457158445e+01°)
1.14815362149688e+09	(-2.30878322608753e+02dB,-9.67213777647400e+01°)
1.15080038894443e+09	(-2.30658474686146e+02dB,-9.67441454530384e+01°)
1.15345325782109e+09	(-2.30438152474796e+02dB,-9.67670499923934e+01°)
1.15611224219210e+09	(-2.30217352524925e+02dB,-9.67900926094799e+01°)
1.15877735615512e+09	(-2.29996071354104e+02dB,-9.68132745462258e+01°)
1.16144861384034e+09	(-2.29774305446842e+02dB,-9.68365970600493e+01°)
1.16412602941049e+09	(-2.29552051254185e+02dB,-9.68600614241002e+01°)
1.16680961706096e+09	(-2.29329305193292e+02dB,-9.68836689275051e+01°)
1.16949939101987e+09	(-2.29106063647018e+02dB,-9.69074208756182e+01°)
1.17219536554813e+09	(-2.28882322963482e+02dB,-9.69313185902766e+01°)
1.17489755493953e+09	(-2.28658079455632e+02dB,-9.69553634100594e+01°)
1.17760597352080e+09	(-2.28433329400803e+02dB,-9.69795566905535e+01°)
1.18032063565173e+09	(-2.28208069040264e+02dB,-9.70038998046228e+01°)
1.18304155572516e+09	(-2.27982294578767e+02dB,-9.70283941426837e+01°)
1.18576874816716e+09	(-2.27756002184077e+02dB,-9.70530411129848e+01°)
1.18850222743701e+09	(-2.27529187986503e+02dB,-9.70778421418936e+01°)
1.19124200802737e+09	(-2.27301848078420e+02dB,-9.71027986741864e+01°)
1.19398810446427e+09	(-2.27073978513779e+02dB,-9.71279121733464e+01°)
1.19674053130724e+09	(-2.26845575307616e+02dB,-9.71531841218655e+01°)
1.19949930314937e+09	(-2.26616634435547e+02dB,-9.71786160215528e+01°)
1.20226443461741e+09	(-2.26387151833256e+02dB,-9.72042093938497e+01°)
1.20503594037179e+09	(-2.26157123395982e+02dB,-9.72299657801499e+01°)
1.20781383510678e+09	(-2.25926544977982e+02dB,-9.72558867421269e+01°)
1.21059813355048e+09	(-2.25695412392004e+02dB,-9.72819738620669e+01°)
1.21338885046497e+09	(-2.25463721408734e+02dB,-9.73082287432094e+01°)
1.21618600064636e+09	(-2.25231467756250e+02dB,-9.73346530100934e+01°)
1.21898959892486e+09	(-2.24998647119450e+02dB,-9.73612483089116e+01°)
1.22179966016487e+09	(-2.24765255139488e+02dB,-9.73880163078707e+01°)
1.22461619926504e+09	(-2.24531287413186e+02dB,-9.74149586975598e+01°)
1.22743923115840e+09	(-2.24296739492443e+02dB,-9.74420771913254e+01°)
1.23026877081238e+09	(-2.24061606883637e+02dB,-9.74693735256544e+01°)
1.23310483322890e+09	(-2.23825885047009e+02dB,-9.74968494605654e+01°)
1.23594743344451e+09	(-2.23589569396042e+02dB,-9.75245067800064e+01°)
1.23879658653036e+09	(-2.23352655296830e+02dB,-9.75523472922623e+01°)
1.24165230759241e+09	(-2.23115138067431e+02dB,-9.75803728303699e+01°)
1.24451461177138e+09	(-2.22877012977217e+02dB,-9.76085852525413e+01°)
1.24738351424294e+09	(-2.22638275246203e+02dB,-9.76369864425964e+01°)
1.25025903021771e+09	(-2.22398920044377e+02dB,-9.76655783104041e+01°)
1.25314117494141e+09	(-2.22158942491003e+02dB,-9.76943627923331e+01°)
1.25602996369487e+09	(-2.21918337653928e+02dB,-9.77233418517114e+01°)
1.25892541179416e+09	(-2.21677100548863e+02dB,-9.77525174792955e+01°)
1.26182753459066e+09	(-2.21435226138662e+02dB,-9.77818916937505e+01°)
1.26473634747115e+09	(-2.21192709332581e+02dB,-9.78114665421386e+01°)
1.26765186585784e+09	(-2.20949544985531e+02dB,-9.78412441004193e+01°)
