Freq.	V(n005)
Step Information: Tol=-160m  (Step: 1/9)
1.00000000000000e+09	(-2.57425282983266e+02dB,-9.45358324917608e+01°)
1.00230523807790e+09	(-2.57247545781030e+02dB,-9.45472034935683e+01°)
1.00461579027839e+09	(-2.57069610789961e+02dB,-9.45586258235218e+01°)
1.00693166885180e+09	(-2.56891476849020e+02dB,-9.45700997822275e+01°)
1.00925288607668e+09	(-2.56713142789039e+02dB,-9.45816256729542e+01°)
1.01157945425990e+09	(-2.56534607432659e+02dB,-9.45932038016627e+01°)
1.01391138573668e+09	(-2.56355869594250e+02dB,-9.46048344770353e+01°)
1.01624869287070e+09	(-2.56176928079844e+02dB,-9.46165180105053e+01°)
1.01859138805412e+09	(-2.55997781687057e+02dB,-9.46282547162875e+01°)
1.02093948370768e+09	(-2.55818429205021e+02dB,-9.46400449114089e+01°)
1.02329299228075e+09	(-2.55638869414304e+02dB,-9.46518889157397e+01°)
1.02565192625141e+09	(-2.55459101086838e+02dB,-9.46637870520249e+01°)
1.02801629812647e+09	(-2.55279122985840e+02dB,-9.46757396459159e+01°)
1.03038612044162e+09	(-2.55098933865735e+02dB,-9.46877470260032e+01°)
1.03276140576140e+09	(-2.54918532472081e+02dB,-9.46998095238489e+01°)
1.03514216667934e+09	(-2.54737917541486e+02dB,-9.47119274740200e+01°)
1.03752841581801e+09	(-2.54557087801529e+02dB,-9.47241012141223e+01°)
1.03992016582906e+09	(-2.54376041970681e+02dB,-9.47363310848338e+01°)
1.04231742939330e+09	(-2.54194778758223e+02dB,-9.47486174299402e+01°)
1.04472021922080e+09	(-2.54013296864161e+02dB,-9.47609605963691e+01°)
1.04712854805090e+09	(-2.53831594979145e+02dB,-9.47733609342259e+01°)
1.04954242865232e+09	(-2.53649671784383e+02dB,-9.47858187968301e+01°)
1.05196187382322e+09	(-2.53467525951559e+02dB,-9.47983345407509e+01°)
1.05438689639126e+09	(-2.53285156142740e+02dB,-9.48109085258452e+01°)
1.05681750921366e+09	(-2.53102561010296e+02dB,-9.48235411152941e+01°)
1.05925372517729e+09	(-2.52919739196806e+02dB,-9.48362326756419e+01°)
1.06169555719872e+09	(-2.52736689334971e+02dB,-9.48489835768337e+01°)
1.06414301822431e+09	(-2.52553410047527e+02dB,-9.48617941922551e+01°)
1.06659612123026e+09	(-2.52369899947146e+02dB,-9.48746648987716e+01°)
1.06905487922266e+09	(-2.52186157636349e+02dB,-9.48875960767684e+01°)
1.07151930523760e+09	(-2.52002181707412e+02dB,-9.49005881101917e+01°)
1.07398941234124e+09	(-2.51817970742272e+02dB,-9.49136413865896e+01°)
1.07646521362983e+09	(-2.51633523312427e+02dB,-9.49267562971538e+01°)
1.07894672222983e+09	(-2.51448837978844e+02dB,-9.49399332367626e+01°)
1.08143395129794e+09	(-2.51263913291859e+02dB,-9.49531726040231e+01°)
1.08392691402120e+09	(-2.51078747791080e+02dB,-9.49664748013156e+01°)
1.08642562361706e+09	(-2.50893340005283e+02dB,-9.49798402348373e+01°)
1.08893009333343e+09	(-2.50707688452314e+02dB,-9.49932693146475e+01°)
1.09144033644875e+09	(-2.50521791638985e+02dB,-9.50067624547127e+01°)
1.09395636627209e+09	(-2.50335648060971e+02dB,-9.50203200729534e+01°)
1.09647819614318e+09	(-2.50149256202704e+02dB,-9.50339425912900e+01°)
1.09900583943252e+09	(-2.49962614537270e+02dB,-9.50476304356912e+01°)
1.10153930954141e+09	(-2.49775721526295e+02dB,-9.50613840362212e+01°)
1.10407861990207e+09	(-2.49588575619843e+02dB,-9.50752038270894e+01°)
1.10662378397766e+09	(-2.49401175256304e+02dB,-9.50890902466993e+01°)
1.10917481526240e+09	(-2.49213518862281e+02dB,-9.51030437376990e+01°)
1.11173172728159e+09	(-2.49025604852477e+02dB,-9.51170647470321e+01°)
1.11429453359173e+09	(-2.48837431629585e+02dB,-9.51311537259896e+01°)
1.11686324778056e+09	(-2.48648997584170e+02dB,-9.51453111302618e+01°)
1.11943788346715e+09	(-2.48460301094550e+02dB,-9.51595374199921e+01°)
1.12201845430196e+09	(-2.48271340526682e+02dB,-9.51738330598307e+01°)
1.12460497396692e+09	(-2.48082114234041e+02dB,-9.51881985189893e+01°)
1.12719745617551e+09	(-2.47892620557499e+02dB,-9.52026342712971e+01°)
1.12979591467280e+09	(-2.47702857825200e+02dB,-9.52171407952563e+01°)
1.13240036323555e+09	(-2.47512824352441e+02dB,-9.52317185741003e+01°)
1.13501081567231e+09	(-2.47322518441542e+02dB,-9.52463680958511e+01°)
1.13762728582343e+09	(-2.47131938381722e+02dB,-9.52610898533785e+01°)
1.14024978756117e+09	(-2.46941082448968e+02dB,-9.52758843444596e+01°)
1.14287833478977e+09	(-2.46749948905907e+02dB,-9.52907520718400e+01°)
1.14551294144553e+09	(-2.46558536001674e+02dB,-9.53056935432945e+01°)
1.14815362149688e+09	(-2.46366841971777e+02dB,-9.53207092716906e+01°)
1.15080038894443e+09	(-2.46174865037963e+02dB,-9.53357997750511e+01°)
1.15345325782109e+09	(-2.45982603408082e+02dB,-9.53509655766188e+01°)
1.15611224219210e+09	(-2.45790055275947e+02dB,-9.53662072049219e+01°)
1.15877735615512e+09	(-2.45597218821195e+02dB,-9.53815251938401e+01°)
1.16144861384034e+09	(-2.45404092209147e+02dB,-9.53969200826722e+01°)
1.16412602941049e+09	(-2.45210673590658e+02dB,-9.54123924162040e+01°)
1.16680961706096e+09	(-2.45016961101980e+02dB,-9.54279427447783e+01°)
1.16949939101987e+09	(-2.44822952864610e+02dB,-9.54435716243645e+01°)
1.17219536554813e+09	(-2.44628646985138e+02dB,-9.54592796166309e+01°)
1.17489755493953e+09	(-2.44434041555103e+02dB,-9.54750672890168e+01°)
1.17760597352080e+09	(-2.44239134650836e+02dB,-9.54909352148064e+01°)
1.18032063565173e+09	(-2.44043924333304e+02dB,-9.55068839732035e+01°)
1.18304155572516e+09	(-2.43848408647956e+02dB,-9.55229141494075e+01°)
1.18576874816716e+09	(-2.43652585624562e+02dB,-9.55390263346908e+01°)
1.18850222743701e+09	(-2.43456453277054e+02dB,-9.55552211264768e+01°)
1.19124200802737e+09	(-2.43260009603360e+02dB,-9.55714991284197e+01°)
1.19398810446427e+09	(-2.43063252585244e+02dB,-9.55878609504852e+01°)
1.19674053130724e+09	(-2.42866180188132e+02dB,-9.56043072090326e+01°)
1.19949930314937e+09	(-2.42668790360949e+02dB,-9.56208385268981e+01°)
1.20226443461741e+09	(-2.42471081035944e+02dB,-9.56374555334796e+01°)
1.20503594037179e+09	(-2.42273050128516e+02dB,-9.56541588648223e+01°)
1.20781383510678e+09	(-2.42074695537039e+02dB,-9.56709491637068e+01°)
1.21059813355048e+09	(-2.41876015142685e+02dB,-9.56878270797368e+01°)
