Freq.	Vn00    Phase
1.50000000000000e+009	-1.94964322210376e+002	-1.00758165123542e+002
1.50034542753124e+009	-1.94933310306046e+002	-1.00763503800865e+002
1.50069093460926e+009	-1.94902285801279e+002	-1.00768847429114e+002
1.50103652125239e+009	-1.94871248683208e+002	-1.00774196015288e+002
1.50138218747894e+009	-1.94840198938951e+002	-1.00779549566396e+002
1.50172793330725e+009	-1.94809136555606e+002	-1.00784908089465e+002
1.50207375875565e+009	-1.94778061520251e+002	-1.00790271591531e+002
1.50241966384246e+009	-1.94746973819947e+002	-1.00795640079647e+002
1.50276564858604e+009	-1.94715873441738e+002	-1.00801013560877e+002
1.50311171300472e+009	-1.94684760372646e+002	-1.00806392042299e+002
1.50345785711685e+009	-1.94653634599677e+002	-1.00811775531006e+002
1.50380408094078e+009	-1.94622496109819e+002	-1.00817164034102e+002
1.50415038449488e+009	-1.94591344890038e+002	-1.00822557558706e+002
1.50449676779750e+009	-1.94560180927285e+002	-1.00827956111951e+002
1.50484323086700e+009	-1.94529004208489e+002	-1.00833359700983e+002
1.50518977372176e+009	-1.94497814720563e+002	-1.00838768332961e+002
1.50553639638014e+009	-1.94466612450400e+002	-1.00844182015059e+002
1.50588309886054e+009	-1.94435397384874e+002	-1.00849600754463e+002
1.50622988118132e+009	-1.94404169510840e+002	-1.00855024558376e+002
1.50657674336087e+009	-1.94372928815135e+002	-1.00860453434010e+002
1.50692368541759e+009	-1.94341675284576e+002	-1.00865887388595e+002
1.50727070736987e+009	-1.94310408905962e+002	-1.00871326429373e+002
1.50761780923610e+009	-1.94279129666073e+002	-1.00876770563600e+002
1.50796499103470e+009	-1.94247837551668e+002	-1.00882219798546e+002
1.50831225278406e+009	-1.94216532549489e+002	-1.00887674141495e+002
1.50865959450260e+009	-1.94185214646258e+002	-1.00893133599745e+002
1.50900701620874e+009	-1.94153883828679e+002	-1.00898598180608e+002
1.50935451792089e+009	-1.94122540083436e+002	-1.00904067891410e+002
1.50970209965749e+009	-1.94091183397192e+002	-1.00909542739492e+002
1.51004976143694e+009	-1.94059813756594e+002	-1.00915022732206e+002
1.51039750327770e+009	-1.94028431148267e+002	-1.00920507876923e+002
1.51074532519820e+009	-1.93997035558819e+002	-1.00925998181024e+002
1.51109322721687e+009	-1.93965626974836e+002	-1.00931493651906e+002
1.51144120935217e+009	-1.93934205382887e+002	-1.00936994296980e+002
1.51178927162254e+009	-1.93902770769519e+002	-1.00942500123671e+002
1.51213741404644e+009	-1.93871323121263e+002	-1.00948011139420e+002
1.51248563664232e+009	-1.93839862424627e+002	-1.00953527351680e+002
1.51283393942865e+009	-1.93808388666102e+002	-1.00959048767919e+002
1.51318232242390e+009	-1.93776901832157e+002	-1.00964575395620e+002
1.51353078564653e+009	-1.93745401909244e+002	-1.00970107242281e+002
1.51387932911502e+009	-1.93713888883793e+002	-1.00975644315413e+002
1.51422795284785e+009	-1.93682362742216e+002	-1.00981186622543e+002
1.51457665686351e+009	-1.93650823470903e+002	-1.00986734171211e+002
1.51492544118047e+009	-1.93619271056227e+002	-1.00992286968973e+002
1.51527430581724e+009	-1.93587705484540e+002	-1.00997845023398e+002
1.51562325079231e+009	-1.93556126742173e+002	-1.01003408342072e+002
1.51597227612419e+009	-1.93524534815439e+002	-1.01008976932594e+002
1.51632138183136e+009	-1.93492929690630e+002	-1.01014550802579e+002
1.51667056793235e+009	-1.93461311354017e+002	-1.01020129959654e+002
1.51701983444568e+009	-1.93429679791854e+002	-1.01025714411464e+002
1.51736918138984e+009	-1.93398034990371e+002	-1.01031304165668e+002
1.51771860878338e+009	-1.93366376935782e+002	-1.01036899229939e+002
1.51806811664481e+009	-1.93334705614277e+002	-1.01042499611966e+002
1.51841770499266e+009	-1.93303021012029e+002	-1.01048105319451e+002
