"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.39000000000E+009, -6.69409109892E+000, +0.00000000000E+000
+2.39050000000E+009, -6.69830455162E+000, +0.00000000000E+000
+2.39100000000E+009, -6.71054542071E+000, +0.00000000000E+000
+2.39150000000E+009, -6.71150283998E+000, +0.00000000000E+000
+2.39200000000E+009, -6.69175001487E+000, +0.00000000000E+000
+2.39250000000E+009, -6.70791920200E+000, +0.00000000000E+000
+2.39300000000E+009, -6.69238762497E+000, +0.00000000000E+000
+2.39350000000E+009, -6.68721281837E+000, +0.00000000000E+000
+2.39400000000E+009, -6.69200399806E+000, +0.00000000000E+000
+2.39450000000E+009, -6.68431388586E+000, +0.00000000000E+000
+2.39500000000E+009, -6.70247576016E+000, +0.00000000000E+000
+2.39550000000E+009, -6.68798383729E+000, +0.00000000000E+000
+2.39600000000E+009, -6.70432902874E+000, +0.00000000000E+000
+2.39650000000E+009, -6.70450097475E+000, +0.00000000000E+000
+2.39700000000E+009, -6.69001017328E+000, +0.00000000000E+000
+2.39750000000E+009, -6.69688319217E+000, +0.00000000000E+000
+2.39800000000E+009, -6.69037588162E+000, +0.00000000000E+000
+2.39850000000E+009, -6.69588454601E+000, +0.00000000000E+000
+2.39900000000E+009, -6.68764905189E+000, +0.00000000000E+000
+2.39950000000E+009, -6.70194950981E+000, +0.00000000000E+000
+2.40000000000E+009, -6.70146643799E+000, +0.00000000000E+000
+2.40050000000E+009, -6.67953420800E+000, +0.00000000000E+000
+2.40100000000E+009, -6.70519549038E+000, +0.00000000000E+000
+2.40150000000E+009, -6.69496878203E+000, +0.00000000000E+000
+2.40200000000E+009, -6.68538799279E+000, +0.00000000000E+000
+2.40250000000E+009, -6.67899534693E+000, +0.00000000000E+000
+2.40300000000E+009, -6.68215138937E+000, +0.00000000000E+000
+2.40350000000E+009, -6.65618778018E+000, +0.00000000000E+000
+2.40400000000E+009, -6.67650729823E+000, +0.00000000000E+000
+2.40450000000E+009, -6.67316178633E+000, +0.00000000000E+000
+2.40500000000E+009, -6.65683006353E+000, +0.00000000000E+000
+2.40550000000E+009, -6.65805593767E+000, +0.00000000000E+000
+2.40600000000E+009, -6.67069572685E+000, +0.00000000000E+000
+2.40650000000E+009, -6.65100216025E+000, +0.00000000000E+000
+2.40700000000E+009, -6.64591090541E+000, +0.00000000000E+000
+2.40750000000E+009, -6.65577037638E+000, +0.00000000000E+000
+2.40800000000E+009, -6.66140807837E+000, +0.00000000000E+000
+2.40850000000E+009, -6.63689725858E+000, +0.00000000000E+000
+2.40900000000E+009, -6.65066651203E+000, +0.00000000000E+000
+2.40950000000E+009, -6.64783721038E+000, +0.00000000000E+000
+2.41000000000E+009, -6.64398575433E+000, +0.00000000000E+000
+2.41050000000E+009, -6.64600841360E+000, +0.00000000000E+000
+2.41100000000E+009, -6.64320459214E+000, +0.00000000000E+000
+2.41150000000E+009, -6.64631471725E+000, +0.00000000000E+000
+2.41200000000E+009, -6.63314875512E+000, +0.00000000000E+000
+2.41250000000E+009, -6.64086698345E+000, +0.00000000000E+000
+2.41300000000E+009, -6.63322326639E+000, +0.00000000000E+000
+2.41350000000E+009, -6.63071713555E+000, +0.00000000000E+000
+2.41400000000E+009, -6.62777059685E+000, +0.00000000000E+000
+2.41450000000E+009, -6.63496712633E+000, +0.00000000000E+000
+2.41500000000E+009, -6.63075999947E+000, +0.00000000000E+000
+2.41550000000E+009, -6.63031636798E+000, +0.00000000000E+000
+2.41600000000E+009, -6.61457200533E+000, +0.00000000000E+000
+2.41650000000E+009, -6.62299677849E+000, +0.00000000000E+000
+2.41700000000E+009, -6.61364661757E+000, +0.00000000000E+000
+2.41750000000E+009, -6.61506387776E+000, +0.00000000000E+000
+2.41800000000E+009, -6.61535967152E+000, +0.00000000000E+000
+2.41850000000E+009, -6.60699685044E+000, +0.00000000000E+000
+2.41900000000E+009, -6.59595707999E+000, +0.00000000000E+000
+2.41950000000E+009, -6.61106838194E+000, +0.00000000000E+000
+2.42000000000E+009, -6.59237745725E+000, +0.00000000000E+000
+2.42050000000E+009, -6.60765406974E+000, +0.00000000000E+000
+2.42100000000E+009, -6.60118169983E+000, +0.00000000000E+000
+2.42150000000E+009, -6.60741577039E+000, +0.00000000000E+000
+2.42200000000E+009, -6.59812418725E+000, +0.00000000000E+000
+2.42250000000E+009, -6.60792484963E+000, +0.00000000000E+000
+2.42300000000E+009, -6.60273199746E+000, +0.00000000000E+000
+2.42350000000E+009, -6.59492729249E+000, +0.00000000000E+000
+2.42400000000E+009, -6.60458551374E+000, +0.00000000000E+000
+2.42450000000E+009, -6.59915367446E+000, +0.00000000000E+000
+2.42500000000E+009, -6.59436571409E+000, +0.00000000000E+000
+2.42550000000E+009, -6.59088135480E+000, +0.00000000000E+000
+2.42600000000E+009, -6.60196448274E+000, +0.00000000000E+000
+2.42650000000E+009, -6.58229462337E+000, +0.00000000000E+000
+2.42700000000E+009, -6.59492929472E+000, +0.00000000000E+000
+2.42750000000E+009, -6.58225227995E+000, +0.00000000000E+000
+2.42800000000E+009, -6.60253244060E+000, +0.00000000000E+000
+2.42850000000E+009, -6.58282252607E+000, +0.00000000000E+000
+2.42900000000E+009, -6.57466668164E+000, +0.00000000000E+000
+2.42950000000E+009, -6.58931286245E+000, +0.00000000000E+000
+2.43000000000E+009, -6.58611058737E+000, +0.00000000000E+000
+2.43050000000E+009, -6.58881794856E+000, +0.00000000000E+000
+2.43100000000E+009, -6.60046904168E+000, +0.00000000000E+000
+2.43150000000E+009, -6.59550642950E+000, +0.00000000000E+000
+2.43200000000E+009, -6.59179861986E+000, +0.00000000000E+000
+2.43250000000E+009, -6.59351756901E+000, +0.00000000000E+000
+2.43300000000E+009, -6.58307318938E+000, +0.00000000000E+000
+2.43350000000E+009, -6.58871663723E+000, +0.00000000000E+000
+2.43400000000E+009, -6.58855345354E+000, +0.00000000000E+000
+2.43450000000E+009, -6.59468237450E+000, +0.00000000000E+000
+2.43500000000E+009, -6.58566868311E+000, +0.00000000000E+000
+2.43550000000E+009, -6.57534302189E+000, +0.00000000000E+000
+2.43600000000E+009, -6.59043898994E+000, +0.00000000000E+000
+2.43650000000E+009, -6.59111135798E+000, +0.00000000000E+000
+2.43700000000E+009, -6.59091667728E+000, +0.00000000000E+000
+2.43750000000E+009, -6.59943840595E+000, +0.00000000000E+000
+2.43800000000E+009, -6.59171674979E+000, +0.00000000000E+000
+2.43850000000E+009, -6.59259615847E+000, +0.00000000000E+000
+2.43900000000E+009, -6.58929184893E+000, +0.00000000000E+000
+2.43950000000E+009, -6.59877744499E+000, +0.00000000000E+000
+2.44000000000E+009, -6.60326861025E+000, +0.00000000000E+000
+2.44050000000E+009, -6.61140683934E+000, +0.00000000000E+000
+2.44100000000E+009, -6.59726586042E+000, +0.00000000000E+000
+2.44150000000E+009, -6.59929780146E+000, +0.00000000000E+000
+2.44200000000E+009, -6.59425475098E+000, +0.00000000000E+000
+2.44250000000E+009, -6.61155051893E+000, +0.00000000000E+000
+2.44300000000E+009, -6.61910221865E+000, +0.00000000000E+000
+2.44350000000E+009, -6.59365254370E+000, +0.00000000000E+000
+2.44400000000E+009, -6.59379346455E+000, +0.00000000000E+000
+2.44450000000E+009, -6.61314424975E+000, +0.00000000000E+000
+2.44500000000E+009, -6.61004029108E+000, +0.00000000000E+000
+2.44550000000E+009, -6.59763551171E+000, +0.00000000000E+000
+2.44600000000E+009, -6.62029671264E+000, +0.00000000000E+000
+2.44650000000E+009, -6.60538252430E+000, +0.00000000000E+000
+2.44700000000E+009, -6.60794071680E+000, +0.00000000000E+000
+2.44750000000E+009, -6.62455110777E+000, +0.00000000000E+000
+2.44800000000E+009, -6.61660827088E+000, +0.00000000000E+000
+2.44850000000E+009, -6.61345042446E+000, +0.00000000000E+000
+2.44900000000E+009, -6.62756255912E+000, +0.00000000000E+000
+2.44950000000E+009, -6.61077493113E+000, +0.00000000000E+000
+2.45000000000E+009, -6.62797488073E+000, +0.00000000000E+000
+2.45050000000E+009, -6.62935099611E+000, +0.00000000000E+000
+2.45100000000E+009, -6.61985684541E+000, +0.00000000000E+000
+2.45150000000E+009, -6.61359922901E+000, +0.00000000000E+000
+2.45200000000E+009, -6.61085350307E+000, +0.00000000000E+000
+2.45250000000E+009, -6.62529415791E+000, +0.00000000000E+000
+2.45300000000E+009, -6.63775716533E+000, +0.00000000000E+000
+2.45350000000E+009, -6.63683425230E+000, +0.00000000000E+000
+2.45400000000E+009, -6.62369390637E+000, +0.00000000000E+000
+2.45450000000E+009, -6.61526590126E+000, +0.00000000000E+000
+2.45500000000E+009, -6.62011952849E+000, +0.00000000000E+000
+2.45550000000E+009, -6.63927048915E+000, +0.00000000000E+000
+2.45600000000E+009, -6.62450867983E+000, +0.00000000000E+000
+2.45650000000E+009, -6.64049463543E+000, +0.00000000000E+000
+2.45700000000E+009, -6.63640874537E+000, +0.00000000000E+000
+2.45750000000E+009, -6.63351669230E+000, +0.00000000000E+000
+2.45800000000E+009, -6.62943461516E+000, +0.00000000000E+000
+2.45850000000E+009, -6.63409642493E+000, +0.00000000000E+000
+2.45900000000E+009, -6.64004298860E+000, +0.00000000000E+000
+2.45950000000E+009, -6.62575785351E+000, +0.00000000000E+000
+2.46000000000E+009, -6.64128881559E+000, +0.00000000000E+000
+2.46050000000E+009, -6.63280864966E+000, +0.00000000000E+000
+2.46100000000E+009, -6.63355136822E+000, +0.00000000000E+000
+2.46150000000E+009, -6.63424671910E+000, +0.00000000000E+000
+2.46200000000E+009, -6.62608734129E+000, +0.00000000000E+000
+2.46250000000E+009, -6.63114035566E+000, +0.00000000000E+000
+2.46300000000E+009, -6.62349319853E+000, +0.00000000000E+000
+2.46350000000E+009, -6.63966180080E+000, +0.00000000000E+000
+2.46400000000E+009, -6.62780429225E+000, +0.00000000000E+000
+2.46450000000E+009, -6.63518973134E+000, +0.00000000000E+000
+2.46500000000E+009, -6.62763865813E+000, +0.00000000000E+000
+2.46550000000E+009, -6.62270793465E+000, +0.00000000000E+000
+2.46600000000E+009, -6.61309377634E+000, +0.00000000000E+000
+2.46650000000E+009, -6.61990735040E+000, +0.00000000000E+000
+2.46700000000E+009, -6.63768942922E+000, +0.00000000000E+000
+2.46750000000E+009, -6.62494831886E+000, +0.00000000000E+000
+2.46800000000E+009, -6.61669302540E+000, +0.00000000000E+000
+2.46850000000E+009, -6.62694683684E+000, +0.00000000000E+000
+2.46900000000E+009, -6.62463236973E+000, +0.00000000000E+000
+2.46950000000E+009, -6.60541396095E+000, +0.00000000000E+000
+2.47000000000E+009, -6.61491825266E+000, +0.00000000000E+000
+2.47050000000E+009, -6.60496351249E+000, +0.00000000000E+000
+2.47100000000E+009, -6.60490682093E+000, +0.00000000000E+000
+2.47150000000E+009, -6.61066887009E+000, +0.00000000000E+000
+2.47200000000E+009, -6.60632552504E+000, +0.00000000000E+000
+2.47250000000E+009, -6.58454458701E+000, +0.00000000000E+000
+2.47300000000E+009, -6.59700410967E+000, +0.00000000000E+000
+2.47350000000E+009, -6.59240720095E+000, +0.00000000000E+000
+2.47400000000E+009, -6.57644196055E+000, +0.00000000000E+000
+2.47450000000E+009, -6.58214719927E+000, +0.00000000000E+000
+2.47500000000E+009, -6.59202598473E+000, +0.00000000000E+000
+2.47550000000E+009, -6.58298664078E+000, +0.00000000000E+000
+2.47600000000E+009, -6.58867878777E+000, +0.00000000000E+000
+2.47650000000E+009, -6.57278037363E+000, +0.00000000000E+000
+2.47700000000E+009, -6.56581891363E+000, +0.00000000000E+000
+2.47750000000E+009, -6.58368685785E+000, +0.00000000000E+000
+2.47800000000E+009, -6.55630138722E+000, +0.00000000000E+000
+2.47850000000E+009, -6.56917873641E+000, +0.00000000000E+000
+2.47900000000E+009, -6.57541608567E+000, +0.00000000000E+000
+2.47950000000E+009, -6.55207342594E+000, +0.00000000000E+000
+2.48000000000E+009, -6.54513270112E+000, +0.00000000000E+000
+2.48050000000E+009, -6.54939310406E+000, +0.00000000000E+000
+2.48100000000E+009, -6.54688875571E+000, +0.00000000000E+000
+2.48150000000E+009, -6.55266299589E+000, +0.00000000000E+000
+2.48200000000E+009, -6.55119603086E+000, +0.00000000000E+000
+2.48250000000E+009, -6.53012671813E+000, +0.00000000000E+000
+2.48300000000E+009, -6.54097015243E+000, +0.00000000000E+000
+2.48350000000E+009, -6.52886933005E+000, +0.00000000000E+000
+2.48400000000E+009, -6.53024068977E+000, +0.00000000000E+000
+2.48450000000E+009, -6.52316667966E+000, +0.00000000000E+000
+2.48500000000E+009, -6.52456655321E+000, +0.00000000000E+000
+2.48550000000E+009, -6.52875354949E+000, +0.00000000000E+000
+2.48600000000E+009, -6.52883264965E+000, +0.00000000000E+000
+2.48650000000E+009, -6.51226118557E+000, +0.00000000000E+000
+2.48700000000E+009, -6.51430932709E+000, +0.00000000000E+000
+2.48750000000E+009, -6.51671678628E+000, +0.00000000000E+000
+2.48800000000E+009, -6.48987533240E+000, +0.00000000000E+000
+2.48850000000E+009, -6.50748939359E+000, +0.00000000000E+000
+2.48900000000E+009, -6.51407720484E+000, +0.00000000000E+000
+2.48950000000E+009, -6.50758395672E+000, +0.00000000000E+000
+2.49000000000E+009, -6.50554057587E+000, +0.00000000000E+000
